time (seconds) , Total ITMY thermal response (diopters) , CO2Y drop (diopters) , ITMY self heating (diopters) 
0,0.0,4.67828792765e-05,0.0
60,1.95174e-06,4.56994758395e-05,4.01101343706e-06
120,9.34034e-06,4.46408531272e-05,1.61525361494e-05
180,2.258433e-05,4.36064443292e-05,3.70529299473e-05
240,3.447076e-05,4.25956955999e-05,5.58933236766e-05
300,4.39613e-05,4.16080657617e-05,7.11167635149e-05
360,5.095958e-05,4.06430260153e-05,8.25792232613e-05
420,5.691243e-05,3.97000596568e-05,9.24514646197e-05
480,6.192213e-05,3.87786618009e-05,0.000100887412476
540,6.551263e-05,3.78783391103e-05,0.000107173485166
600,6.934493e-05,3.69986095322e-05,0.000113801664744
660,7.136853e-05,3.61390020395e-05,0.000117696672237
720,7.488843e-05,3.52990563791e-05,0.000123816467897
780,7.642783e-05,3.44783228252e-05,0.000126946301451
840,7.821593e-05,3.36763619386e-05,0.000130430412338
900,7.980953e-05,3.28927443315e-05,0.000133604429945
960,8.089773e-05,3.21270504373e-05,0.000136002423839
1020,8.202723e-05,3.13788702863e-05,0.00013844485399
1080,8.278033e-05,3.06478032861e-05,0.00014030557099
1140,8.421703e-05,2.9933458007e-05,0.00014317496627
1200,8.478753e-05,2.92354519725e-05,0.000144728722304
1260,8.527803e-05,2.85534114545e-05,0.000146146512822
1320,8.532463e-05,2.78869712731e-05,0.000146882853003
1380,8.592293e-05,2.72357746013e-05,0.000148431499675
1440,8.612583e-05,2.65994727737e-05,0.000149372151503
1500,8.663493e-05,2.59777251002e-05,0.000150757549176
1560,8.693813e-05,2.53701986829e-05,0.000151819875594
1620,8.748053e-05,2.47765682387e-05,0.000153227106038
1680,8.732923e-05,2.41965159244e-05,0.000153580208352
1740,8.762263e-05,2.3629731167e-05,0.00015458709311
1800,8.800743e-05,2.30759104971e-05,0.000155718113779
1860,8.792823e-05,2.25347573869e-05,0.00015614046689
1920,8.839083e-05,2.20059820907e-05,0.000157363142186
1980,8.830293e-05,2.14893014903e-05,0.000157747972786
2040,8.852383e-05,2.09844389434e-05,0.000158584185333
2100,8.807783e-05,2.04911241352e-05,0.000158408500141
2160,8.807223e-05,2.00090929339e-05,0.000158882131343
2220,8.751513e-05,1.95380872492e-05,0.000158517487027
2280,8.829953e-05,1.90778548939e-05,0.000160154319383
2340,8.721633e-05,1.86281494494e-05,0.000158979224827
2400,8.716933e-05,1.81887301333e-05,0.000159348144143
2460,8.743983e-05,1.77593616706e-05,0.000160183262606
2520,8.757323e-05,1.73398141678e-05,0.000160802910109
